episode,reward,length,goal_reached,goal_distance
0,-6789.6673,1000,0.0,0.7693665904750074
1,-5257.49374,1000,0.0,2.711444545771443
2,-1367.010742,1000,0.0,0.6943214998062858
3,-740.367681,1000,0.0,0.6373347070056097
4,-670.398064,1000,0.0,0.7670762908584216
5,3281.372269,853,1.0,0.34107014454670215
6,-602.06929,1000,0.0,0.6644282392544157
7,-665.761572,1000,0.0,0.8509192253087028
8,-626.631963,1000,0.0,0.7596380771998003
9,-1158.516214,1000,0.0,0.9453222754180771
10,-48.931768,1000,0.0,1.1386942536239963
11,-464.694085,1000,0.0,0.964448048399071
12,-2277.750347,1000,0.0,0.6285452690903955
13,8719.455849,1000,0.0,0.41192294129193596
14,12729.463075,1000,0.0,0.4277253414789187
15,3542.286377,505,1.0,0.4480585190822961
16,-1227.458812,1000,0.0,1.222107950726424
17,-684.100044,1000,0.0,0.6336737449217679
18,-976.22387,1000,0.0,0.7272140362885029
19,-1927.219174,1000,0.0,1.2150741844533812
20,1929.253707,1000,0.0,0.41046245701360756
21,8974.563384,1000,0.0,0.4565927836082453
22,5406.955455,991,1.0,0.4507782840516387
23,-315.027323,1000,0.0,0.466491870603229
24,-340.862391,1000,0.0,0.6195559278968938
25,255.486931,945,1.0,0.4127207548913668
26,-805.858415,1000,0.0,0.6471865133918674
27,-1217.545943,1000,0.0,1.2310015839867927
28,5198.150258,991,1.0,0.2996670222583207
29,587.666322,1000,0.0,0.3075003621838781
30,722.765222,1000,0.0,0.3014593996784672
31,4985.364609,1000,0.0,0.4484299515816211
32,-1294.962283,1000,0.0,0.5944976354499196
33,7148.421361,1000,0.0,0.3489334605314323
34,-1055.188457,1000,0.0,3.104025660149108
35,8440.314904,1000,0.0,0.43382600778288727
36,19351.717396,1000,0.0,0.3650963744158396
37,275.011475,1000,0.0,0.6673681946989287
38,6465.240995,1000,0.0,0.42069336559038994
39,-798.324682,1000,0.0,0.9234476003945346
40,-271.305034,1000,0.0,0.8447479997620391
41,-38.817117,1000,0.0,0.7791582084735792
42,315.888478,1000,0.0,0.7683552384671379
43,-439.193299,1000,0.0,0.5131040452321267
44,14138.635234,1000,0.0,0.42809290073671175
45,-7903.375701,1000,0.0,2.314285732074493
46,-6453.872254,1000,0.0,2.254814432807119
47,5549.06789,1000,0.0,0.3948290676530145
48,18124.136225,1000,0.0,0.34503399760195747
49,16771.793303,1000,0.0,0.3571345862423167
50,21613.410995,1000,0.0,0.3380355259242245
51,19784.834995,1000,0.0,0.335277479451842
52,19943.990699,1000,0.0,0.3388322460224614
53,16750.127737,1000,0.0,0.32143396760785997
54,17472.194585,1000,0.0,0.30626353796741923
55,16071.750506,1000,0.0,0.30974985899972013
56,18240.857543,1000,0.0,0.32019036063885037
57,20104.380521,1000,0.0,0.30433956758678743
58,19846.360043,1000,0.0,0.30106459528692386
59,19688.732688,1000,0.0,0.3069611008410959
60,20158.993812,1000,0.0,0.300012909395381
61,21558.168657,1000,0.0,0.3246691710928561
62,19874.065526,1000,0.0,0.3511818057479286
63,18502.618066,1000,0.0,0.301450455566838
64,20232.943646,1000,0.0,0.30010171167969885
65,19952.417138,1000,0.0,0.30089560698766094
66,20364.672242,1000,0.0,0.37814131491829517
67,19697.187507,1000,0.0,0.3636883397551849
68,-2050.175715,1000,0.0,2.119958094022416
69,23752.432201,1000,0.0,0.4437533131184568
70,24558.661931,1000,0.0,0.42518331590916414
71,25030.35592,1000,0.0,0.41611506542051513
72,25032.541446,1000,0.0,0.3943848355864406
73,24762.196051,1000,0.0,0.3200129893898813
74,20484.75872,1000,0.0,0.30078687739735194
75,20073.279558,1000,0.0,0.3000412784694265
76,23011.461992,1000,0.0,0.3036977365469544
77,20830.768132,1000,0.0,0.338367597924862
78,22794.542626,1000,0.0,0.3002568496735914
79,23491.310978,1000,0.0,0.3565579748621205
80,22786.810051,1000,0.0,0.34130656418715727
81,23141.640661,1000,0.0,0.3128578662381749
82,24247.26634,1000,0.0,0.33892057175550144
83,-5145.970464,1000,0.0,1.978090698602006
84,-3711.061312,1000,0.0,1.273095345334646
85,12796.681656,1000,0.0,0.4223329528576411
86,1092.166273,1000,0.0,0.4065226889281016
87,647.130016,1000,0.0,0.39137520066613785
88,21405.351882,1000,0.0,0.40228438188476495
