episode,reward,length,goal_reached,goal_distance
0,-6793.267181,1000,0.0,2.7868489960568237
1,-3385.010822,1000,0.0,0.31733139899855894
2,-78.367576,1000,0.0,0.13213125914361998
3,2296.102763,1000,0.0,0.1287822316239162
4,2693.312753,1000,0.0,0.14385435262520957
5,1337.774703,363,1.0,0.2031196128414959
6,569.957084,108,1.0,0.405314973605403
7,329.396137,106,1.0,0.48076122945271105
8,383.568409,111,1.0,0.47616742790851374
9,453.675779,215,1.0,0.49474952452456905
10,268.509594,170,1.0,0.5443535813880331
11,268.839029,120,1.0,0.5548813564892816
12,221.479181,83,1.0,0.5686583045932743
13,222.084626,87,1.0,0.5583945838251063
14,215.375782,76,1.0,0.5590595717907938
15,225.433178,79,1.0,0.567103309160869
16,225.142821,85,1.0,0.5755406856636274
17,217.442584,75,1.0,0.5746171157301161
18,234.810241,86,1.0,0.5768106607342272
19,227.469519,80,1.0,0.5760266911991797
20,214.517655,74,1.0,0.5805794223708205
21,221.153669,71,1.0,0.5771195306839051
22,214.858551,71,1.0,0.5780498324458763
23,227.193583,76,1.0,0.5798749320176836
24,224.89519,76,1.0,0.5879203824511953
25,223.659121,71,1.0,0.5929940208302461
26,311.773168,83,1.0,0.5837058891571378
27,227.426089,74,1.0,0.5881765793661327
28,256.05082,73,1.0,0.595691501560704
29,223.629431,71,1.0,0.5945260916674425
30,295.201989,75,1.0,0.5754576220857102
31,220.334897,73,1.0,0.584549799640866
32,429.762072,80,1.0,0.5727040378756829
33,693.786287,97,1.0,0.59873093939324
34,448.108516,83,1.0,0.5974393389871041
35,215.052557,70,1.0,0.5897364466646388
36,218.827983,68,1.0,0.596283351294133
37,230.437526,75,1.0,0.5957959040387679
38,223.517262,71,1.0,0.5918840419782782
39,220.028461,70,1.0,0.5850840420585818
40,224.415692,73,1.0,0.5866369540209196
41,379.098368,79,1.0,0.5928601201771527
42,217.530649,69,1.0,0.5979006482894624
43,229.026122,74,1.0,0.5990976450881804
44,229.197993,69,1.0,0.5974278798873728
45,225.49107,70,1.0,0.5874632273324322
46,224.76173,71,1.0,0.5933577612475194
47,309.677716,78,1.0,0.5983055200189298
48,224.972612,69,1.0,0.5876496062033616
49,226.356488,73,1.0,0.5948802501052352
50,539.847827,115,1.0,0.4785447475332432
51,429.934473,100,1.0,0.47894658422127123
52,536.908241,113,1.0,0.4787386796148794
53,5214.163992,1000,0.0,0.2949532774568979
54,410.664629,95,1.0,0.47335386179978134
55,1083.836149,136,1.0,0.46110035180108605
56,10221.266526,1000,0.0,0.27457639718515464
57,16894.460686,1000,0.0,0.027893127949447673
58,19525.857491,1000,0.0,0.013110895740159731
59,18797.177048,1000,0.0,0.1112843299572292
60,20229.888988,1000,0.0,0.08130189011595527
61,20967.124476,1000,0.0,0.01931782275993523
62,20841.656581,1000,0.0,0.07933182489866752
63,20974.769904,1000,0.0,0.05932375049157176
64,20955.517657,1000,0.0,0.06753964037183771
