episode,reward,length,goal_reached,goal_distance
0,-9613.825538,1000,0.0,3.597930395776093
1,-7442.275419,1000,0.0,2.716429453935471
2,-5925.573823,1000,0.0,2.4983058510502305
3,-2712.990577,1000,0.0,0.9108194069761693
4,-1304.498615,1000,0.0,0.8904721579048536
5,-1164.770065,1000,0.0,0.9196378218366027
6,-1100.768465,1000,0.0,0.8878058842765009
7,-793.357416,1000,0.0,0.9071869345524899
8,874.052999,1000,0.0,0.5438558074806709
9,363.763833,74,1.0,0.4583882780268277
10,348.119472,72,1.0,0.557581688496709
11,224.669573,65,1.0,0.4796240554546564
12,233.960906,68,1.0,0.40007752689763276
13,2177.451881,1000,0.0,0.3288520631585835
14,1476.116411,1000,0.0,0.3711526649473938
15,308.645786,91,1.0,0.5763704154641283
16,2605.922628,1000,0.0,0.21759670946456922
17,4446.208423,459,1.0,0.3055323118312705
18,1458.631431,364,1.0,0.3191511639500054
19,224.939751,116,1.0,0.5727249874988156
20,241.373375,130,1.0,0.5817470428691267
21,246.983665,138,1.0,0.5730238990291843
22,255.68117,146,1.0,0.5780786241907766
23,258.84304,171,1.0,0.5736931585260429
24,236.894757,137,1.0,0.583852937895814
25,361.247815,168,1.0,0.5979987704233485
26,2920.565456,702,1.0,0.5964880588202954
27,240.607992,84,1.0,0.5943653321067646
28,231.618798,76,1.0,0.5832547076745802
29,229.851986,73,1.0,0.5710534313450948
30,228.702703,73,1.0,0.5705651159334297
31,229.191581,76,1.0,0.5747052837371481
32,231.21595,76,1.0,0.5769613381224489
33,235.913102,81,1.0,0.5692274536034262
34,226.056772,70,1.0,0.5595364867893949
35,224.322692,68,1.0,0.570953833409198
36,226.071115,70,1.0,0.5645305983439867
37,227.134593,73,1.0,0.5649985054325131
38,227.0748,71,1.0,0.5623248848993235
39,221.717233,66,1.0,0.5547849496584877
40,223.962081,67,1.0,0.5630509467446335
41,222.190365,66,1.0,0.5443154617410091
42,220.513307,64,1.0,0.5590103055396336
43,224.280603,67,1.0,0.5551164979874712
44,214.62207,57,1.0,0.5423065822184209
45,223.949178,68,1.0,0.5651144212708895
46,228.763028,71,1.0,0.5718774663373558
47,223.233289,65,1.0,0.561086487212724
48,221.218425,64,1.0,0.5656526743315792
49,225.018348,68,1.0,0.5603343578701879
50,413.070057,73,1.0,0.538287780546594
51,408.383175,69,1.0,0.5210641517992004
52,1596.087266,241,1.0,0.3435835112143165
53,546.12888,182,1.0,0.41918039697291004
54,2302.296312,243,1.0,0.2737436126514621
55,1120.698862,473,1.0,0.3734204389911391
56,3040.037728,320,1.0,0.21730403491940908
57,1881.71571,230,1.0,0.27375487962048073
58,1576.638225,193,1.0,0.291606804759739
59,1071.049295,127,1.0,0.34038886160324183
60,596.143305,95,1.0,0.3876211386956394
61,1564.06989,135,1.0,0.3074425385852948
62,866.840842,118,1.0,0.354499434314292
63,1986.414399,174,1.0,0.23825782662653072
64,4368.413972,309,1.0,0.2705389495368101
65,5959.66569,348,1.0,0.18399114357452473
66,8573.733388,482,1.0,0.0439217219422672
67,8085.350817,450,1.0,0.012766568264707298
68,3027.753418,215,1.0,0.1628304159180686
69,16678.944879,1000,0.0,0.1596768156760157
70,7156.613631,1000,0.0,1.210390327742985
71,8120.220135,1000,0.0,0.28073861497354397
72,15055.88385,1000,0.0,0.21287387780236655
73,15415.425923,1000,0.0,0.3147718745590011
74,14270.661227,1000,0.0,0.375993790592864
75,17860.245952,1000,0.0,0.33728735779218627
76,18401.253285,1000,0.0,0.30575277243752463
77,18266.989171,1000,0.0,0.31228479653712826
78,18433.146255,1000,0.0,0.33572109044414306
79,17992.401142,1000,0.0,0.25771377098744513
80,17414.917148,1000,0.0,0.31714560510144035
81,17591.523845,1000,0.0,0.34981125722562423
82,17790.890031,1000,0.0,0.37397763741718815
83,17284.330896,1000,0.0,0.357749919005312
84,17988.091861,1000,0.0,0.35539122493405206
85,18546.524431,1000,0.0,0.36426227302238073
86,17781.956019,1000,0.0,0.35384892630139025
87,18727.526487,1000,0.0,0.35624127180444004
88,18869.248227,1000,0.0,0.357469357348301
89,19434.309219,1000,0.0,0.30877411331672583
90,19906.330851,1000,0.0,0.2289250928473617
91,20152.543596,1000,0.0,0.20202761470592534
92,20416.972176,1000,0.0,0.20165931017339708
93,20730.366389,1000,0.0,0.19276531485211282
94,20957.966241,1000,0.0,0.17991036554901543
95,21298.419123,1000,0.0,0.16623048096946993
96,20669.242392,1000,0.0,0.0772494442764839
97,20641.925526,1000,0.0,0.13492409019816018
98,21108.891667,1000,0.0,0.13215786499560028
99,21001.34375,1000,0.0,0.1416525375582351
100,21051.033017,1000,0.0,0.13431066242554757
101,20923.460571,1000,0.0,0.15148832928174588
102,21317.318547,1000,0.0,0.254119157991681
103,21166.378306,1000,0.0,0.2366505048565726
104,21577.54454,1000,0.0,0.19704566722022754
105,21135.216158,1000,0.0,0.29773976615998454
106,21297.887392,1000,0.0,0.27070801462863975
107,21758.004343,1000,0.0,0.3286170992673679
108,21632.695632,1000,0.0,0.3144355255062654
109,21924.943933,1000,0.0,0.19963214252694386
110,22256.724076,1000,0.0,0.166960601895613
111,21933.960696,1000,0.0,0.24100917640035313
112,21984.408463,1000,0.0,0.33502912397498036
113,21594.003995,1000,0.0,0.25608779407935034
114,22210.73409,1000,0.0,0.3532962263156718
115,22051.416864,1000,0.0,0.3636756713751768
116,22352.002419,1000,0.0,0.21768402078192964
117,22696.666386,1000,0.0,0.24455110716831055
118,22977.805477,1000,0.0,0.18873148102293824
119,22737.088224,1000,0.0,0.19192841053314125
120,22529.093204,1000,0.0,0.241806397381631
121,22327.880698,1000,0.0,0.2217873434661047
122,22607.943762,1000,0.0,0.2616547187193773
123,21422.14199,1000,0.0,0.2872599905326814
124,21309.444353,1000,0.0,0.2633018554248894
125,21548.900506,1000,0.0,0.3321802582003833
126,21742.025096,1000,0.0,0.296993982742354
127,22291.695512,1000,0.0,0.2622742990096146
128,22528.65842,1000,0.0,0.2638502004485732
129,22890.940364,1000,0.0,0.21404529555278906
130,22612.45377,1000,0.0,0.2688364222044191
131,22352.536795,1000,0.0,0.2596627067997915
132,22820.826702,1000,0.0,0.20533307581794807
133,22882.296042,1000,0.0,0.20808988520196117
134,23006.936663,1000,0.0,0.26215203199130077
135,22757.278366,1000,0.0,0.2690252783565119
136,22326.183269,1000,0.0,0.2750833134090453
137,22768.105375,1000,0.0,0.2058599338430563
138,22929.174786,1000,0.0,0.1870592522055853
139,22823.930122,1000,0.0,0.224563995542613
140,23159.47651,1000,0.0,0.2576875557689701
141,22905.542672,1000,0.0,0.3108861432749026
142,22784.924688,1000,0.0,0.2614593947945979
143,23189.743802,1000,0.0,0.1966831368513242
144,23580.206689,1000,0.0,0.18493382466119176
145,23342.967908,1000,0.0,0.19221340590792688
146,23392.564321,1000,0.0,0.22510921086917277
147,23302.586023,1000,0.0,0.13094017765418176
148,23355.400616,1000,0.0,0.214588856810913
149,23682.275735,1000,0.0,0.16467195700915593
